features,entanglement,layers,gamma,neighbours,seed,median_mps_time,median_dot_time,avg_max_chi,avg_mps_mem
50,linear,2,0.5,4,5,5.545734660999983,0.006155643499937469,15.833333333333334,0.051808675130208336
50,linear,2,0.5,6,5,12.536961404999943,0.0065814344999353125,39.5,0.739166259765625
50,linear,2,0.5,2,5,1.5591278069999817,0.005954396499987524,6.166666666666667,0.007680257161458333
50,linear,1,0.5,10,5,16.08982113349998,0.007651689999875089,28.833333333333332,0.24306233723958334
50,linear,2,0.5,12,5,61.80929606899997,0.0071972304999690095,385.1666666666667,158.5405069986979
50,linear,1,0.5,12,5,23.33642257249994,0.006652228500115598,53.5,1.4954274495442708
50,linear,1,0.5,8,5,10.411168029999999,0.006345089999854281,19.166666666666668,0.143280029296875
50,linear,1,0.5,6,5,5.772414681999976,0.006178760999887345,16.166666666666668,0.057342529296875
50,linear,1,0.5,2,5,0.8040730710000616,0.005596893499955513,4.0,0.0045166015625
50,linear,2,0.5,8,5,22.31021892499996,0.00671308100004353,92.33333333333333,6.026326497395833
50,linear,2,0.5,10,5,36.673432200999855,0.0067738589998498355,130.0,8.579243977864584
50,linear,1,0.5,4,5,2.7759723285000746,0.005933744999879309,8.166666666666666,0.012797037760416666
